;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;Action;GameCube & Wii;Atari;1;;Enter the matrix ;;;;;;;;;http://fr.wikipedia.org/wiki/Enter_the_Matrix
;Simulation voiture;GameCube & Wii;;1;;F1 2002 ;;;;;;;;;
;Tactic-RPG;GameCube & Wii;SquareEnix;1;;Final Fantasy Crystal Chronicles;;;;;;;;;http://fr.wikipedia.org/wiki/Final_Fantasy_Crystal_Chronicles
;Arcade karting ;GameCube & Wii;Nintendo;1;;Mario kart double dash + Mario sunshine;;;;;;;;;http://fr.wikipedia.org/wiki/Mario_Kart:_Double_Dash!!
;Arcade karting ;GameCube & Wii;Nintendo;1;;Mario kart double dash ;;;;;;;;;http://fr.wikipedia.org/wiki/Mario_Kart:_Double_Dash!!
;Arcade tennis;GameCube & Wii;Nintendo;1;;Mario power tennis ;;;;;;;;;http://fr.wikipedia.org/wiki/Mario_Power_Tennis
;RPG;GameCube & Wii;Namco;1;;Tales of symphonia ;;;;;;;;;http://fr.wikipedia.org/wiki/Tales_of_Symphonia
;;;;1;;;;;;;;;;;
;;;;1;;NES (Nintendo);;;;;;;;;
;Plate-forme 2D;NES;Infogrames;1;EU;Astérix ;;;;;;;;;http://fr.wikipedia.org/wiki/Ast%C3%A9rix_%28NES%29
;Plate-forme 2D;NES;Konami;1;EU;Castlevania ;;;;;;;;;http://fr.wikipedia.org/wiki/Castlevania
;Plate-forme 2D;NES;;1;EU;Chip 'n Dale: Rescue Rangers ;;;;;;;;;
;Plate-forme 2D;NES;Capcom;1;EU;Darkwing Duck ;;;;;;;;;http://fr.wikipedia.org/wiki/Darkwing_Duck_%28jeu_vid%C3%A9o%29
;beat them all;NES;Taito;1;EU;Double Dragon ;;;;;;;;;http://fr.wikipedia.org/wiki/Double_Dragon_%28jeu_vid%C3%A9o%29
;beat them all;NES;Technos;1;EU;Double Dragon 2;;7;0;;0;;;5 €;http://fr.wikipedia.org/wiki/Double_Dragon_2:_The_Revenge
;beat them all;NES;Technos;1;EU;Double Dragon 3;;7;0;;0;;;15 €;http://fr.wikipedia.org/wiki/Double_Dragon_3:_The_Rosetta_Stone
;puzzle game;NES;Nintendo;1;EU;Dr. Mario ;;;;;;;;;http://fr.wikipedia.org/wiki/Dr._Mario
;Action-RPG ;NES;Bandai;1;EU;Dragn Ball : Le Secret du Dragon;;7;0;;0;;;15 €;http://fr.wikipedia.org/wiki/Dragon_Ball_:_le_Secret_du_dragon
;Shoot ;NES;Nintendo;1;EU;Duck Hunt ;;;;;;;;;http://fr.wikipedia.org/wiki/Duck_Hunt
;Arcade moto ;NES;Nintendo;1;EU;Excitebike ;;;;;;;;;http://fr.wikipedia.org/wiki/Excitebike
;Action;NES;;1;EU;Ghostbusters II ;;;;;;;;;
;Simulation golf ;NES;Nintendo;1;EU;Golf ;;;;;;;;;http://fr.wikipedia.org/wiki/Golf_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;NES;Sunsoft;1;EU;Gremlins 2: The New Batch ;;;;;;;;;http://fr.wikipedia.org/wiki/Gremlins_2:_The_New_Batch_%28jeu_vid%C3%A9o%29
;Shoot ;NES;Nintendo;1;EU;Hogan's Alley ;;;;;;;;;http://fr.wikipedia.org/wiki/Hogan%27s_Alley_%28jeu_vid%C3%A9o%29
;Action;NES;;1;EU;Isolated Warrior ;;;;;;;;;
;Action-RPG ;NES;Bandai;1;EU;Les chevaliers du zodiaque;;7;0;;0;;;15 €;http://fr.wikipedia.org/wiki/Les_Chevaliers_du_Zodiaque_:_la_L%C3%A9gende_d%27or
;Action;NES;Atari;1;EU;Paperboy;;9;1;9;1;9;;15 €;http://fr.wikipedia.org/wiki/Paperboy
;shoot them up;NES;Konami;1;EU;Parodius ;;;;;;;;;http://fr.wikipedia.org/wiki/Parodius
;Flipper;NES;;1;EU;PinBot ;;;;;;;;;
;shoot them up;NES;Konami;1;EU;Probotector ;;;;;;;;;http://fr.wikipedia.org/wiki/Probotector
;Action;NES;;1;EU;Retour vers le futur 2 ;;;;;;;;;
;Action;NES;;1;EU;Retour vers le futur 3 ;;;;;;;;;
;Action;NES;Ocean software;1;EU;RoboCop 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/RoboCop_2_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;NES;Konami;1;EU;Rush'n attack ;;;;;;;;;http://fr.wikipedia.org/wiki/Green_Beret_%281985%29
;Simulation foot;NES;Nintendo;1;EU;Soccer ;;;;;;;;;http://fr.wikipedia.org/wiki/Soccer_%28jeu_vid%C3%A9o%29
;Plate-forme 2D;NES;Lucasfilm games/JVC;1;EU;Star Wars;;7;1;7;1;5;distribué par Bandai;30 €;
;Combat aérien ;NES;Nintendo;1;EU;Stealth;;7;0;;0;;;5 €;
;Plate-forme 2D;NES;Nintendo;1;EU;Super Mario Bros ;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Mario_Bros.
;Plate-forme 2D;NES;Nintendo;1;EU;Super mario bross 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Mario_Bros._2
;Plate-forme 2D;NES;Nintendo;1;EU;Super mario bross 3;;7;1;7;0;;;10 €;http://fr.wikipedia.org/wiki/Super_Mario_Bros._3
;Action-aventure ;NES;Konami;1;EU;Teenage mutant hero turtles;;7;0;;1;5;;5 €;http://fr.wikipedia.org/wiki/Teenage_Mutant_Hero_Turtles_%28jeu_vid%C3%A9o%29
;Action-aventure ;NES;Konami;1;EU;Teenage mutant hero turtles;;7;0;;1;5;;5 €;http://fr.wikipedia.org/wiki/Teenage_Mutant_Hero_Turtles_%28jeu_vid%C3%A9o%29
